ChurnKey;CustomerKey;DateKey;LocalisationKey;ServiceKey;CustomerID;Gender;Age;MaritalStatus;City;State;MonthlyCharge;Contrat;PaymentMethod;Satisfaction_score;ChurValue;CustomerStatus;ChurnScore;ChurnCategory;CLTV;PhoneService;MultipleLines;InternetService;InternetType;StreamingTV;StreamingMovies;StreamingMusic;OnlineSecurity;DeviceProtection;SubscriptionDate;SubsciptionMonths;SubscriptionQuarter;ChurnDate
477;477;1227;494;6580;0691-NIKRI;Female;41;No;Elverta;California;105,94999694824219;One Year;Credit Card;5;0;Stayed;31;;3784;1;1;1;Fiber Optic;1;1;1;0;1;2020-05-08;5;Q2;
478;478;1151;1320;5857;0696-UKTOX;Male;64;No;North Hills;California;54,150001525878906;Month-to-Month;Bank Withdrawal;4;0;Stayed;80;;2496;1;0;1;Cable;0;0;0;0;0;2020-02-22;2;Q1;
479;479;1196;833;1794;0697-ZMSWS;Male;19;No;Los Angeles;California;85,650001525878906;Month-to-Month;Bank Withdrawal;1;1;Churned;87;Dissatisfaction;2330;1;1;1;Fiber Optic;0;1;1;0;0;2020-04-07;4;Q2;2020-09-30
480;480;1277;636;2683;0699-NDKJM;Female;45;Yes;Westlake Village;California;58,75;Month-to-Month;Bank Withdrawal;3;0;Stayed;38;;4115;0;0;1;Cable;1;1;1;1;1;2020-06-27;6;Q2;
481;481;1210;751;3790;0701-RFGFI;Female;56;Yes;La Mesa;California;95,400001525878906;Month-to-Month;Bank Withdrawal;5;0;Stayed;41;;6136;1;1;1;Fiber Optic;1;1;1;0;0;2020-04-21;4;Q2;
482;482;1099;1256;5072;0701-TJSEF;Male;45;No;Santa Barbara;California;68,25;Month-to-Month;Bank Withdrawal;3;0;Stayed;40;;4366;1;0;1;Cable;0;1;1;1;1;2020-01-01;1;Q1;
483;483;1104;1103;2400;0702-PGIBZ;Male;28;No;Dutch Flat;California;101,69999694824219;Month-to-Month;Bank Withdrawal;2;1;Churned;91;Competitor;2777;1;1;1;Fiber Optic;1;1;1;0;0;2020-01-06;1;Q1;2020-08-16
484;484;1132;1329;5948;0704-VCUMB;Female;64;Yes;San Diego;California;20,25;Two Year;Credit Card;3;0;Stayed;55;;5974;1;0;0;None;0;0;0;0;0;2020-02-03;2;Q1;
485;485;1103;595;896;0707-HOVVN;Female;79;No;Mi Wuk Village;California;75,5;Two Year;Bank Withdrawal;4;0;Stayed;62;;6024;1;1;1;Cable;1;0;0;0;1;2020-01-05;1;Q1;
486;486;1192;1193;6406;0708-LGSMF;Male;56;Yes;Milpitas;California;65,849998474121094;Month-to-Month;Bank Withdrawal;3;0;Stayed;44;;2731;1;1;1;DSL;0;1;1;1;0;2020-04-03;4;Q2;
487;487;1243;1314;5761;0708-SJDIS;Female;32;No;West Hollywood;California;65;Month-to-Month;Credit Card;5;0;Stayed;55;;5567;1;1;1;Cable;1;0;0;0;0;2020-05-24;5;Q2;
488;488;1102;148;178;0709-TVGUR;Female;70;No;Stockton;California;74,550003051757813;Month-to-Month;Bank Withdrawal;1;1;Churned;69;Competitor;3145;1;1;1;Fiber Optic;0;0;0;0;0;2020-01-04;1;Q1;2020-09-18
489;489;1158;786;1028;0716-BQNDX;Male;77;No;Madera;California;93,75;Two Year;Bank Withdrawal;3;0;Stayed;75;;4276;1;1;1;Fiber Optic;0;1;1;1;0;2020-02-29;2;Q1;
490;490;1106;659;1255;0719-SYFRB;Female;52;No;Norco;California;61,650001525878906;Month-to-Month;Mailed Check;1;1;Churned;67;Competitor;5670;1;1;1;DSL;0;0;0;1;1;2020-01-08;1;Q1;2020-07-26
491;491;1143;234;4157;0722-SVSFK;Female;45;No;Half Moon Bay;California;100,40000152587891;Month-to-Month;Bank Withdrawal;3;0;Stayed;56;;5041;1;0;1;Fiber Optic;1;1;1;0;1;2020-02-14;2;Q1;
492;492;1244;262;302;0722-TROQR;Female;68;No;Davis;California;74,900001525878906;Month-to-Month;Bank Withdrawal;1;1;Churned;78;Price;2122;1;1;1;Fiber Optic;0;0;0;0;0;2020-05-25;5;Q2;2020-08-04
493;493;1229;85;474;0723-DRCLG;Female;73;Yes;Fallbrook;California;74,449996948242188;Month-to-Month;Bank Withdrawal;2;1;Churned;94;Other;2394;1;1;1;Fiber Optic;0;0;0;0;0;2020-05-10;5;Q2;2020-08-08
494;494;1247;1571;5590;0723-FDLAY;Male;54;No;Gold Run;California;85,25;One Year;Bank Withdrawal;5;0;Stayed;57;;2292;1;1;1;Cable;1;1;1;0;1;2020-05-28;5;Q2;
495;495;1194;487;601;0723-VSOBE;Female;67;No;Dos Rios;California;34,200000762939453;One Year;Bank Withdrawal;3;0;Stayed;38;;5715;0;0;1;Cable;0;1;0;0;0;2020-04-05;4;Q2;
496;496;1157;1528;6482;0725-CXOTM;Female;29;No;Manteca;California;89,650001525878906;One Year;Credit Card;3;0;Stayed;68;;4844;1;1;1;DSL;1;1;1;1;1;2020-02-28;2;Q1;
497;497;1138;38;51;0727-BMPLR;Female;66;No;Fresno;California;100;One Year;Bank Withdrawal;3;1;Churned;83;Competitor;5679;1;1;1;Fiber Optic;1;1;1;0;1;2020-02-09;2;Q1;2020-09-06
498;498;1123;395;3626;0727-BNRLG;Male;41;No;Los Angeles;California;97,650001525878906;Two Year;Credit Card;3;0;Stayed;20;;5709;1;1;1;Fiber Optic;1;0;0;0;1;2020-01-25;1;Q1;
499;499;1233;433;2211;0727-IWKVK;Male;35;Yes;Yermo;California;79,900001525878906;Month-to-Month;Bank Withdrawal;2;1;Churned;91;Price;4748;1;0;1;Fiber Optic;0;0;0;0;1;2020-05-14;5;Q2;2020-07-04
500;500;1167;1445;4057;0730-BGQGF;Male;48;Yes;Grover Beach;California;90,300003051757813;Two Year;Credit Card;3;0;Stayed;63;;6291;1;1;1;DSL;1;1;1;1;1;2020-03-09;3;Q1;
501;501;1238;791;3112;0730-KOAVE;Male;53;No;Redwood City;California;94,300003051757813;Month-to-Month;Credit Card;3;0;Stayed;75;;4219;1;1;1;Fiber Optic;0;1;1;1;0;2020-05-19;5;Q2;
502;502;1178;285;2581;0731-EBJQB;Female;24;Yes;Downey;California;20,399999618530273;One Year;Bank Withdrawal;3;0;Stayed;26;;5482;1;0;0;None;0;0;0;0;0;2020-03-20;3;Q1;
503;503;1121;1393;2824;0732-OCQOC;Female;30;Yes;Death Valley;California;25,049999237060547;Two Year;Bank Withdrawal;4;0;Stayed;42;;5674;1;1;0;None;0;0;0;0;0;2020-01-23;1;Q1;
504;504;1101;42;2301;0733-VUNUW;Male;43;No;San Francisco;California;55,650001525878906;Month-to-Month;Bank Withdrawal;1;1;Churned;90;Competitor;4126;1;1;1;DSL;0;0;0;1;0;2020-01-03;1;Q1;2020-07-25
505;505;1364;12;5886;0734-OXWBT;Male;44;No;Covina;California;70,699996948242188;Month-to-Month;Credit Card;3;0;Joined;56;;2584;1;0;1;Cable;1;1;1;0;0;2020-09-22;9;Q3;
506;506;1213;917;4165;0739-UUAJR;Female;61;Yes;Mountain View;California;53,799999237060547;Two Year;Credit Card;3;0;Stayed;28;;4954;0;0;1;Cable;1;1;1;1;1;2020-04-24;4;Q2;
507;507;1259;550;2912;0742-LAFQK;Male;52;Yes;Fullerton;California;99,150001525878906;Two Year;Bank Withdrawal;3;0;Stayed;46;;5152;1;1;1;Fiber Optic;0;1;1;1;1;2020-06-09;6;Q2;
508;508;1166;85;1186;0742-MOABM;Male;50;Yes;Fallbrook;California;50,049999237060547;Month-to-Month;Credit Card;2;1;Churned;82;Competitor;3394;1;0;1;Cable;0;0;0;0;0;2020-03-08;3;Q1;2020-09-18
509;509;1102;176;2422;0742-NXBGR;Female;64;No;Adin;California;82,300003051757813;Month-to-Month;Bank Withdrawal;1;1;Churned;71;Competitor;4278;1;0;1;Fiber Optic;0;0;0;0;1;2020-01-04;1;Q1;2020-07-16
510;510;1156;171;3485;0743-HNPFG;Female;50;Yes;Butte City;California;69,75;One Year;Credit Card;3;0;Stayed;50;;5628;1;0;1;DSL;0;1;1;1;0;2020-02-27;2;Q1;
511;511;1101;1442;5118;0743-HRVFF;Female;42;Yes;Bakersfield;California;56,150001525878906;One Year;Bank Withdrawal;5;0;Stayed;48;;4132;0;0;1;DSL;1;1;1;0;1;2020-01-03;1;Q1;
512;512;1214;1385;3849;0744-BIKKF;Male;39;No;Mecca;California;86,650001525878906;Two Year;Bank Withdrawal;3;0;Stayed;67;;4621;1;1;1;DSL;1;1;1;1;1;2020-04-25;4;Q2;
513;513;1113;521;4736;0744-GKNGE;Female;31;Yes;Inglewood;California;86,800003051757813;Month-to-Month;Bank Withdrawal;3;0;Stayed;70;;4915;1;1;1;Fiber Optic;0;0;0;1;0;2020-01-15;1;Q1;
514;514;1258;575;1955;0746-JTRFU;Male;22;No;Kingsburg;California;25,049999237060547;Month-to-Month;Bank Withdrawal;1;1;Churned;77;Dissatisfaction;4810;0;0;1;Cable;0;0;1;0;0;2020-06-08;6;Q2;2020-07-16
515;515;1237;531;1833;0748-RDGGM;Male;38;Yes;Tarzana;California;109,5;One Year;Bank Withdrawal;2;1;Churned;82;Price;6136;1;0;1;Fiber Optic;1;1;1;1;1;2020-05-18;5;Q2;2020-07-20
516;516;1270;93;1116;0749-IRGQE;Female;68;Yes;Buena Park;California;45,299999237060547;Month-to-Month;Bank Withdrawal;4;0;Stayed;48;;4118;0;0;1;DSL;1;1;0;0;0;2020-06-20;6;Q2;
517;517;1123;218;2867;0750-EBAIU;Male;43;No;Temecula;California;91,25;One Year;Bank Withdrawal;3;0;Stayed;29;;4770;1;0;1;Fiber Optic;1;0;0;1;1;2020-01-25;1;Q1;
518;518;1185;828;4619;0750-EKNGL;Male;44;No;Hyampom;California;20,75;Month-to-Month;Mailed Check;5;0;Stayed;46;;4476;1;0;0;None;0;0;0;0;0;2020-03-27;3;Q1;
519;519;1168;748;3749;0754-EEBDC;Male;25;Yes;Covina;California;19,899999618530273;Two Year;Mailed Check;4;0;Stayed;74;;2347;1;0;0;None;0;0;0;0;0;2020-03-10;3;Q1;
520;520;1229;1295;2385;0754-UKWQP;Male;63;No;Cool;California;95,849998474121094;Month-to-Month;Bank Withdrawal;1;1;Churned;66;Competitor;3790;1;0;1;Fiber Optic;1;1;1;0;1;2020-05-10;5;Q2;2020-08-31
521;521;1106;204;5938;0756-MPZRL;Male;35;No;Pauma Valley;California;33,700000762939453;One Year;Credit Card;3;0;Stayed;22;;3007;0;0;1;DSL;0;0;0;0;1;2020-01-08;1;Q1;
522;522;1274;1453;5152;0757-WCUUZ;Male;29;Yes;June Lake;California;63,349998474121094;Two Year;Credit Card;3;0;Stayed;72;;4232;1;1;1;DSL;0;1;1;0;1;2020-06-24;6;Q2;
523;523;1151;1024;1571;0761-AETCS;Female;58;No;Colton;California;19,299999237060547;Month-to-Month;Bank Withdrawal;2;1;Churned;92;Attitude;3236;1;0;0;None;0;0;0;0;0;2020-02-22;2;Q1;2020-08-18
524;524;1143;1055;5216;0769-MURVM;Female;44;Yes;Carmel Valley;California;65,699996948242188;Two Year;Bank Withdrawal;3;0;Stayed;52;;6187;0;0;1;Cable;1;1;1;1;1;2020-02-14;2;Q1;
525;525;1164;537;5972;0771-CHWSK;Male;56;No;Brawley;California;74,599998474121094;Two Year;Credit Card;3;0;Stayed;78;;4838;1;1;1;DSL;0;1;1;1;1;2020-03-06;3;Q1;
526;526;1177;1392;2820;0771-WLCLA;Female;49;Yes;Big Bear Lake;California;112,94999694824219;Month-to-Month;Bank Withdrawal;3;0;Stayed;70;;2683;1;1;1;Fiber Optic;1;1;1;1;1;2020-03-19;3;Q1;
527;527;1187;952;1700;0772-GYEQQ;Male;33;No;Lodi;California;88,349998474121094;Month-to-Month;Credit Card;2;1;Churned;93;Competitor;5202;1;0;1;Fiber Optic;1;0;0;0;1;2020-03-29;3;Q1;2020-07-22
528;528;1099;1080;3266;0774-IFUVM;Male;19;Yes;Stockton;California;65,150001525878906;Month-to-Month;Bank Withdrawal;3;0;Stayed;42;;5942;1;1;1;DSL;1;0;0;1;0;2020-01-01;1;Q1;
529;529;1248;203;5936;0774-RMNUW;Female;44;Yes;Pala;California;59,700000762939453;Two Year;Bank Withdrawal;4;0;Stayed;63;;6420;0;0;1;Cable;1;1;1;1;0;2020-05-29;5;Q2;
530;530;1162;896;2229;0778-NELLA;Male;43;No;Anaheim;California;34,700000762939453;Month-to-Month;Credit Card;1;1;Churned;95;Competitor;5352;0;0;1;DSL;1;0;0;0;0;2020-03-04;3;Q1;2020-09-10
531;531;1121;1069;6362;0780-XNZFN;Male;60;No;Oakland;California;20,649999618530273;Two Year;Bank Withdrawal;5;0;Stayed;49;;4193;1;0;0;None;0;0;0;0;0;2020-01-23;1;Q1;
532;532;1129;40;53;0781-LKXBR;Male;65;No;San Francisco;California;100,5;Month-to-Month;Bank Withdrawal;1;1;Churned;70;Competitor;4038;1;1;1;Fiber Optic;1;1;1;0;1;2020-01-31;1;Q1;2020-08-12
533;533;1278;813;3315;0784-GTUUK;Male;26;Yes;Newman;California;23,75;One Year;Credit Card;4;0;Stayed;66;;4811;1;1;0;None;0;0;0;0;0;2020-06-28;6;Q2;
534;534;1239;1472;4155;0784-ZQJZX;Male;22;No;Spreckels;California;19,899999618530273;Two Year;Credit Card;4;0;Stayed;72;;5730;1;0;0;None;0;0;0;0;0;2020-05-20;5;Q2;
535;535;1132;532;967;0786-IVLAW;Female;72;No;Valley Village;California;108,09999847412109;One Year;Bank Withdrawal;3;0;Stayed;20;;4722;1;1;1;Fiber Optic;1;1;0;0;1;2020-02-03;2;Q1;
536;536;1269;389;471;0786-VSSUD;Male;68;No;San Diego;California;39;Month-to-Month;Mailed Check;1;1;Churned;92;Competitor;5692;0;0;1;DSL;1;0;0;0;0;2020-06-19;6;Q2;2020-08-26
537;537;1268;1055;6260;0787-LHDYT;Male;36;No;Carmel Valley;California;20,600000381469727;Month-to-Month;Credit Card;3;0;Stayed;64;;5667;1;0;0;None;0;0;0;0;0;2020-06-18;6;Q2;
538;538;1119;1164;3965;0788-DXBFY;Male;54;Yes;Tustin;California;19,549999237060547;One Year;Bank Withdrawal;3;0;Stayed;72;;4801;1;0;0;None;0;0;0;0;0;2020-01-21;1;Q1;
539;539;1245;738;3606;0793-TWELN;Female;27;No;Los Angeles;California;80,150001525878906;Month-to-Month;Bank Withdrawal;3;0;Stayed;62;;2841;1;1;1;Fiber Optic;0;0;0;1;0;2020-05-26;5;Q2;
540;540;1142;633;3703;0794-YVSGE;Male;29;Yes;Pasadena;California;20,299999237060547;Two Year;Bank Withdrawal;3;0;Stayed;76;;5265;1;0;0;None;0;0;0;0;0;2020-02-13;2;Q1;
541;541;1186;1625;4892;0795-GMVQO;Male;36;Yes;San Diego;California;109,90000152587891;One Year;Credit Card;4;0;Stayed;26;;5416;1;1;1;Fiber Optic;1;1;1;1;1;2020-03-28;3;Q1;
542;542;1240;658;2913;0795-LAFGP;Male;25;Yes;Fullerton;California;90,400001525878906;Two Year;Bank Withdrawal;3;0;Stayed;40;;5633;1;1;1;DSL;1;1;1;1;1;2020-05-21;5;Q2;
543;543;1163;454;1014;0795-XCCTE;Male;80;No;Bishop;California;25,399999618530273;Two Year;Bank Withdrawal;3;0;Stayed;51;;6141;1;1;0;None;0;0;0;0;0;2020-03-05;3;Q1;
544;544;1256;1598;3541;0799-DDIHE;Female;24;Yes;Grenada;California;46,299999237060547;Month-to-Month;Bank Withdrawal;5;0;Stayed;68;;3103;1;0;1;Cable;0;0;0;0;0;2020-06-06;6;Q2;
545;545;1271;439;6068;0804-XBFBV;Female;49;No;Foothill Ranch;California;25,200000762939453;Month-to-Month;Bank Withdrawal;3;0;Stayed;57;;5916;0;0;1;DSL;0;0;0;0;0;2020-06-21;6;Q2;
546;546;1258;1014;7014;0804-YGEQV;Female;59;Yes;Palm Desert;California;24,450000762939453;One Year;Bank Withdrawal;4;0;Stayed;77;;5119;1;1;0;None;0;0;0;0;0;2020-06-08;6;Q2;
547;547;1144;1219;2404;0807-ZABDG;Female;43;No;Woodland;California;55,099998474121094;Month-to-Month;Mailed Check;1;1;Churned;90;Competitor;4412;1;0;1;Cable;0;0;0;1;0;2020-02-15;2;Q1;2020-07-22
548;548;1113;782;3044;0810-BDHAW;Female;54;Yes;Chowchilla;California;78,400001525878906;One Year;Bank Withdrawal;3;0;Stayed;77;;2506;1;1;1;DSL;1;1;1;1;0;2020-01-15;1;Q1;
549;549;1277;1278;3208;0810-DHDBD;Female;31;No;Rohnert Park;California;74;One Year;Credit Card;3;0;Stayed;39;;5806;1;1;1;Cable;1;0;0;1;1;2020-06-27;6;Q2;
550;550;1165;1486;3144;0811-GSDTP;Female;50;No;Alameda;California;30,149999618530273;Month-to-Month;Bank Withdrawal;5;0;Stayed;22;;3540;0;0;1;Cable;0;0;0;0;0;2020-03-07;3;Q1;
551;551;1136;111;257;0812-WUPTB;Male;65;Yes;Corona Del Mar;California;70,849998474121094;Month-to-Month;Credit Card;2;1;Churned;69;Price;3022;1;0;1;Fiber Optic;0;0;0;0;0;2020-02-07;2;Q1;2020-08-31
552;552;1248;69;5510;0813-TAXXS;Male;48;No;Alderpoint;California;77,800003051757813;Two Year;Bank Withdrawal;5;0;Stayed;59;;6483;1;1;1;DSL;1;1;1;0;1;2020-05-29;5;Q2;
553;553;1213;250;4298;0815-MFZGM;Female;54;Yes;Morgan Hill;California;99;Two Year;Credit Card;4;0;Stayed;76;;4545;1;0;1;Fiber Optic;1;1;1;0;1;2020-04-24;4;Q2;
554;554;1357;663;6143;0816-TSPHQ;Male;35;No;Kettleman City;California;20,75;Month-to-Month;Credit Card;3;0;Joined;79;;3976;1;0;0;None;0;0;0;0;0;2020-09-15;9;Q3;
555;555;1313;867;3696;0817-HSUSE;Male;26;No;Altadena;California;75,5;Month-to-Month;Bank Withdrawal;5;0;Joined;43;;2954;1;0;1;Cable;1;1;1;0;1;2020-08-02;8;Q3;
556;556;1171;366;445;0818-OCPZO;Male;80;No;Los Angeles;California;81,449996948242188;Month-to-Month;Bank Withdrawal;3;1;Churned;83;Competitor;2571;1;1;1;Fiber Optic;0;0;0;0;0;2020-03-13;3;Q1;2020-08-10
557;557;1175;1188;4221;0820-FNRNX;Male;48;Yes;Lafayette;California;66,699996948242188;Month-to-Month;Mailed Check;3;0;Stayed;46;;2814;1;1;1;DSL;0;0;0;0;1;2020-03-17;3;Q1;
558;558;1205;664;1271;0822-GAVAP;Female;19;No;Posey;California;34,700000762939453;Month-to-Month;Bank Withdrawal;1;1;Churned;65;Competitor;3146;0;0;1;DSL;0;1;1;0;0;2020-04-16;4;Q2;2020-07-20
559;559;1244;739;1110;0822-QGCXA;Female;76;Yes;Los Angeles;California;83,849998474121094;Month-to-Month;Bank Withdrawal;5;0;Stayed;35;;5907;1;1;1;DSL;1;1;1;0;1;2020-05-25;5;Q2;
560;560;1108;33;43;0823-HSCDJ;Male;76;No;Temecula;California;49,150001525878906;Month-to-Month;Bank Withdrawal;2;1;Churned;90;Competitor;5597;0;0;1;DSL;1;1;1;0;0;2020-01-10;1;Q1;2020-09-25
561;561;1254;967;6541;0824-VWDPO;Female;58;No;Mckinleyville;California;96,75;One Year;Bank Withdrawal;4;0;Stayed;73;;3682;1;1;1;Fiber Optic;0;1;1;1;0;2020-06-04;6;Q2;
562;562;1237;491;5488;0825-CPPQH;Female;26;Yes;Laytonville;California;19,100000381469727;Two Year;Credit Card;4;0;Stayed;72;;4241;1;0;0;None;0;0;0;0;0;2020-05-18;5;Q2;
563;563;1140;626;6792;0827-ITJPH;Male;33;No;Los Angeles;California;18,549999237060547;Two Year;Credit Card;3;0;Stayed;28;;5703;1;0;0;None;0;0;0;0;0;2020-02-11;2;Q1;
564;564;1154;1421;3981;0829-DDVLK;Female;58;No;Orange;California;20,100000381469727;One Year;Credit Card;5;0;Stayed;71;;4359;1;0;0;None;0;0;0;0;0;2020-02-25;2;Q1;
565;565;1169;124;5173;0829-XXPLX;Female;48;No;Cutler;California;89,400001525878906;Month-to-Month;Bank Withdrawal;4;0;Stayed;68;;2098;1;0;1;Fiber Optic;1;0;0;1;1;2020-03-11;3;Q1;
566;566;1190;1517;3265;0831-JNISG;Male;52;Yes;San Jose;California;19,799999237060547;Two Year;Credit Card;4;0;Stayed;20;;5406;1;0;0;None;0;0;0;0;0;2020-04-01;4;Q2;
567;567;1216;792;3143;0835-DUUIQ;Female;55;No;Alameda;California;21,049999237060547;One Year;Bank Withdrawal;5;0;Stayed;63;;2050;1;0;0;None;0;0;0;0;0;2020-04-27;4;Q2;
568;568;1152;1184;3122;0835-JKADZ;Female;29;No;San Francisco;California;111,25;Two Year;Bank Withdrawal;4;0;Stayed;54;;4361;1;1;1;Fiber Optic;1;1;1;0;1;2020-02-23;2;Q1;
569;569;1149;1152;1866;0836-SEYLU;Male;64;Yes;San Diego;California;40,650001525878906;Month-to-Month;Mailed Check;1;1;Churned;91;Competitor;4800;0;0;1;DSL;1;0;0;0;0;2020-02-20;2;Q1;2020-07-11
570;570;1170;1416;3958;0839-JTCUD;Female;31;Yes;Mission Viejo;California;89,900001525878906;Two Year;Credit Card;3;0;Stayed;20;;4082;1;1;1;Cable;1;1;1;1;1;2020-03-12;3;Q1;
571;571;1279;1353;3685;0839-QNXME;Female;35;No;Surfside;California;19,399999618530273;Two Year;Credit Card;3;0;Stayed;78;;3986;1;0;0;None;0;0;0;0;0;2020-06-29;6;Q2;
572;572;1216;113;5019;0840-DCNZE;Male;33;No;Newport Beach;California;86,949996948242188;One Year;Bank Withdrawal;4;0;Stayed;57;;5631;1;0;1;DSL;1;1;1;1;1;2020-04-27;4;Q2;
573;573;1135;518;4694;0840-DFEZH;Female;63;No;Los Angeles;California;75,349998474121094;Month-to-Month;Bank Withdrawal;3;0;Stayed;37;;4989;1;1;1;Fiber Optic;0;0;0;0;0;2020-02-06;2;Q1;
574;574;1157;252;1365;0841-NULXI;Male;38;No;Stockton;California;35,549999237060547;Month-to-Month;Bank Withdrawal;1;1;Churned;71;Other;3958;0;0;1;DSL;0;1;1;0;0;2020-02-28;2;Q1;2020-08-25
575;575;1174;758;3880;0842-IWYCP;Female;19;No;Helendale;California;44,950000762939453;Month-to-Month;Bank Withdrawal;5;0;Stayed;44;;2626;1;0;1;Cable;0;0;0;0;0;2020-03-16;3;Q1;
576;576;1253;302;2201;0843-WTBXE;Male;38;No;San Diego;California;85,449996948242188;Month-to-Month;Bank Withdrawal;1;1;Churned;90;Other;4753;1;1;1;Fiber Optic;1;0;0;0;0;2020-06-03;6;Q2;2020-07-30
577;577;1246;208;5987;0847-HGRML;Male;44;No;North Palm Springs;California;20;Two Year;Bank Withdrawal;3;0;Stayed;37;;4402;1;0;0;None;0;0;0;0;0;2020-05-27;5;Q2;
578;578;1256;495;6613;0848-SOMKO;Male;23;No;Shingle Springs;California;48,400001525878906;Two Year;Bank Withdrawal;3;0;Stayed;66;;4483;0;0;1;DSL;0;1;1;1;1;2020-06-06;6;Q2;
579;579;1225;801;5379;0848-ZGQIJ;Female;56;Yes;Saratoga;California;94,650001525878906;Month-to-Month;Bank Withdrawal;5;0;Stayed;36;;3050;1;0;1;Fiber Optic;1;1;1;0;0;2020-05-06;5;Q2;
580;580;1146;1490;3152;0851-DFJKB;Female;57;No;Concord;California;58,950000762939453;Month-to-Month;Bank Withdrawal;4;0;Stayed;55;;4497;1;0;1;DSL;0;0;0;1;1;2020-02-17;2;Q1;
581;581;1141;1280;5356;0853-NWIFK;Female;27;No;Woodacre;California;100,30000305175781;One Year;Bank Withdrawal;3;0;Stayed;64;;4868;1;0;1;Fiber Optic;1;1;1;1;0;2020-02-12;2;Q1;
582;582;1191;101;4825;0853-TWRVK;Male;59;Yes;North Hollywood;California;105,59999847412109;Two Year;Bank Withdrawal;3;0;Stayed;48;;5981;1;1;1;Fiber Optic;0;1;1;1;1;2020-04-02;4;Q2;
583;583;1183;1323;3777;0854-UYHZD;Female;21;Yes;West Covina;California;19,549999237060547;Two Year;Mailed Check;4;0;Stayed;55;;2816;1;0;0;None;0;0;0;0;0;2020-03-25;3;Q1;
584;584;1138;238;6319;0856-NAOES;Male;29;No;Concord;California;60,900001525878906;Month-to-Month;Credit Card;5;0;Stayed;80;;2191;1;0;1;DSL;1;0;0;0;1;2020-02-09;2;Q1;
585;585;1203;1225;6682;0859-YGKFW;Male;56;Yes;Olivehurst;California;20,049999237060547;One Year;Bank Withdrawal;5;0;Stayed;63;;4458;1;0;0;None;0;0;0;0;0;2020-04-14;4;Q2;
586;586;1209;329;3134;0862-PRCBS;Female;32;Yes;San Francisco;California;103,75;Two Year;Credit Card;3;0;Stayed;45;;4121;1;1;1;Fiber Optic;1;1;1;0;0;2020-04-20;4;Q2;
587;587;1161;970;6565;0864-FVJNJ;Female;63;Yes;Trinidad;California;113,34999847412109;One Year;Bank Withdrawal;3;0;Stayed;20;;4952;1;1;1;Fiber Optic;1;1;1;1;1;2020-03-03;3;Q1;
588;588;1116;1036;1592;0866-QLSIR;Female;53;No;Garden Grove;California;64,400001525878906;One Year;Mailed Check;2;1;Churned;75;Attitude;5189;1;1;1;DSL;0;0;0;1;0;2020-01-18;1;Q1;2020-09-28
589;589;1239;1575;4542;0867-LDTTC;Male;51;No;Sacramento;California;75,150001525878906;Month-to-Month;Bank Withdrawal;4;0;Stayed;68;;5900;1;0;1;Cable;1;1;1;0;1;2020-05-20;5;Q2;
590;590;1211;867;1173;0867-MKZVY;Female;26;Yes;Altadena;California;82,400001525878906;Month-to-Month;Bank Withdrawal;1;1;Churned;86;Price;5719;1;1;1;Fiber Optic;0;0;1;1;0;2020-04-22;4;Q2;2020-09-12
591;591;1228;1306;5667;0868-VJRDR;Male;61;Yes;Cassel;California;104,05000305175781;Two Year;Credit Card;4;0;Stayed;36;;4337;1;0;1;Fiber Optic;1;1;1;1;0;2020-05-09;5;Q2;
592;592;1174;444;703;0869-PAPRP;Female;68;Yes;Pixley;California;85,699996948242188;Two Year;Credit Card;3;0;Stayed;23;;3935;1;0;1;Fiber Optic;1;0;0;0;1;2020-03-16;3;Q1;
593;593;1197;64;2347;0870-VEMYL;Female;34;No;Columbia;California;53,849998474121094;Month-to-Month;Credit Card;1;1;Churned;74;Competitor;5435;1;0;1;Cable;0;0;0;1;0;2020-04-08;4;Q2;2020-07-15
594;594;1348;65;7035;0871-OPBXW;Female;57;No;Escondido;California;20,049999237060547;Month-to-Month;Mailed Check;3;0;Joined;80;;5191;1;0;0;None;0;0;0;0;0;2020-09-06;9;Q3;
595;595;1101;150;2346;0871-URUWO;Male;36;Yes;Sheep Ranch;California;102,25;Month-to-Month;Credit Card;1;1;Churned;66;Competitor;2003;1;1;1;Fiber Optic;1;1;1;0;1;2020-01-03;1;Q1;2020-09-26
596;596;1253;614;6675;0872-CASZJ;Male;30;Yes;Hamilton City;California;69,099998474121094;One Year;Credit Card;3;0;Stayed;29;;4765;1;1;1;Cable;0;1;1;1;0;2020-06-03;6;Q2;
597;597;1201;1203;3317;0872-JCPIB;Male;47;No;Pinecrest;California;65,75;Month-to-Month;Bank Withdrawal;4;0;Stayed;63;;3921;1;1;1;DSL;0;1;1;1;0;2020-04-12;4;Q2;
598;598;1239;1314;2464;0872-NXJYS;Female;40;No;West Hollywood;California;79,550003051757813;Month-to-Month;Bank Withdrawal;1;1;Churned;81;Competitor;3246;1;0;1;Fiber Optic;0;1;1;0;0;2020-05-20;5;Q2;2020-08-22
599;599;1263;314;375;0875-CABNR;Female;70;No;San Luis Obispo;California;84,599998474121094;Month-to-Month;Credit Card;3;1;Churned;94;Attitude;3320;1;0;1;Fiber Optic;0;1;1;0;1;2020-06-13;6;Q2;2020-07-04
